ISBN,Book-Title,Book-Author,Year-Of-Publication,Image-URL-L,pagesNumber,Rating
044651974X,Strange Highways,Dean R. Koontz,1995,http://images.amazon.com/images/P/044651974X.01.LZZZZZZZ.jpg,561,3.86
1878067028,Vital Lies,Ellen Hart,1991,http://images.amazon.com/images/P/1878067028.01.LZZZZZZZ.jpg,232,3.87
1559720328,What Does Joan Say?: My Seven Years As White House Astrologer to Nancy and Ronald Reagan,Joan Quigley,1992,http://images.amazon.com/images/P/1559720328.01.LZZZZZZZ.jpg,218,3.17
037324519X,Her Healing Touch  (Morgan's Mercenaries: Destiny's Women),Lindsay Mckenna,2003,http://images.amazon.com/images/P/037324519X.01.LZZZZZZZ.jpg,256,3.94
1551665182,Stud,Barbara Delinsky,1999,http://images.amazon.com/images/P/1551665182.01.LZZZZZZZ.jpg,256,3.56
006101432X,Every Move She Makes,Robin Burcell,1999,http://images.amazon.com/images/P/006101432X.01.LZZZZZZZ.jpg,400,3.8
037321829X,Body of Evidence,Joan Elliot Pickart,2003,http://images.amazon.com/images/P/037321829X.01.LZZZZZZZ.jpg,384,2.92
1565049365,The Sword of Mary (Sword of Mary),Esther Friesner,1996,http://images.amazon.com/images/P/1565049365.01.LZZZZZZZ.jpg,447,3.92
1558178988,Julia: The Untold Story of America's Pretty Woman,Aileen Joyce,1993,http://images.amazon.com/images/P/1558178988.01.LZZZZZZZ.jpg,295,3.5700000000000003
067101675X,Bloodstream: A Novel of Medical Suspense,Tess Gerritsen,1998,http://images.amazon.com/images/P/067101675X.01.LZZZZZZZ.jpg,324,3.96
044021596X,Heartbreaker,KAREN ROBARDS,1998,http://images.amazon.com/images/P/044021596X.01.LZZZZZZZ.jpg,400,3.78
1573221376,The Cigarette Girl: A Novel,Carol Wolper,1999,http://images.amazon.com/images/P/1573221376.01.LZZZZZZZ.jpg,272,3.08
068810312X,Made in America: An Informal History of the English Language in the United States,Bill Bryson,1995,http://images.amazon.com/images/P/068810312X.01.LZZZZZZZ.jpg,417,3.9
042516313X,Breathing Lessons,Anne Tyler,1998,http://images.amazon.com/images/P/042516313X.01.LZZZZZZZ.jpg,336,3.67
1551661756,Dream Comes True,Barbara Delinksy,1996,http://images.amazon.com/images/P/1551661756.01.LZZZZZZZ.jpg,256,3.9
067102342X,A Girl Named Summer,Julie Garwood,1998,http://images.amazon.com/images/P/067102342X.01.LZZZZZZZ.jpg,163,3.5700000000000003
067101966X,Sweet Fortune,Jayne Ann Krentz,1998,http://images.amazon.com/images/P/067101966X.01.LZZZZZZZ.jpg,342,3.9
1551666243,Man With A Past,Jayne Ann Krentz,2000,http://images.amazon.com/images/P/1551666243.01.LZZZZZZZ.jpg,256,3.6
1551664771,Against The Rules,Linda Howard,1998,http://images.amazon.com/images/P/1551664771.01.LZZZZZZZ.jpg,251,3.59
038089968X,Chain Letter (Avon Camelot Books (Paperback)),Christopher Pike,1986,http://images.amazon.com/images/P/038089968X.01.LZZZZZZZ.jpg,192,3.64
1551664143,Perfect Family,Penny Jordan,1998,http://images.amazon.com/images/P/1551664143.01.LZZZZZZZ.jpg,378,3.54
1551665743,Mackenzie'S Mountain,Linda Howard,2000,http://images.amazon.com/images/P/1551665743.01.LZZZZZZZ.jpg,256,4.17
155166903X,The Ties That Bind,Jayne Ann Krentz,2002,http://images.amazon.com/images/P/155166903X.01.LZZZZZZZ.jpg,256,3.59
1551662833,There And Now,Linda Lael Miller,1997,http://images.amazon.com/images/P/1551662833.01.LZZZZZZZ.jpg,251,3.97
1551669048,Warrior,Elizabeth Lowell,2002,http://images.amazon.com/images/P/1551669048.01.LZZZZZZZ.jpg,256,3.91
1551668513,Wedding Night,Jayne Ann Krentz,2001,http://images.amazon.com/images/P/1551668513.01.LZZZZZZZ.jpg,256,3.45
1551665859,Fit For A King (Mira),Diana Palmer,2000,http://images.amazon.com/images/P/1551665859.01.LZZZZZZZ.jpg,256,3.89
1551664887,Fever,Elizabeth Lowell,1999,http://images.amazon.com/images/P/1551664887.01.LZZZZZZZ.jpg,256,3.63
1565120299,Rising to the Occasion: A Practical Companion for the Occasionally Perplexed,Edith Hazard,1993,http://images.amazon.com/images/P/1565120299.01.LZZZZZZZ.jpg,224,3.5700000000000003
067102180X,Simple Gifts : Four Heartwarming Christmas Stories,Judith McNaught,1998,http://images.amazon.com/images/P/067102180X.01.LZZZZZZZ.jpg,320,4.01
1572971835,Courage Under Fire,Patrick Sheane Duncan,1996,http://images.amazon.com/images/P/1572971835.01.LZZZZZZZ.jpg,304,3.62
1573225835,The Woman Who Walked on Water,Lily Tuck,1997,http://images.amazon.com/images/P/1573225835.01.LZZZZZZZ.jpg,256,3.19
078600018X,Dangerous Illusions,Amanda Scott,1997,http://images.amazon.com/images/P/078600018X.01.LZZZZZZZ.jpg,448,3.7
188322067X,The Dandelion Seed,Joseph P. Anthony,1997,http://images.amazon.com/images/P/188322067X.01.LZZZZZZZ.jpg,32,4.27
038079456X,Devil's Bride (Cynster Novels),Stephanie Laurens,1999,http://images.amazon.com/images/P/038079456X.01.LZZZZZZZ.jpg,388,4.09
1570825637,A Walk in the Woods: Roly Poly Lift the Flaps (Lift the Flaps.),Lisa Ann Marsoli,1997,http://images.amazon.com/images/P/1570825637.01.LZZZZZZZ.jpg,20,4.0
061819679X,Paddington Helps Out: Revised Edition,Michael Bond,2002,http://images.amazon.com/images/P/061819679X.01.LZZZZZZZ.jpg,144,4.22
1561451401,The Kid Coach (AllStar SportStory Series),Fred Bowen,1997,http://images.amazon.com/images/P/1561451401.01.LZZZZZZZ.jpg,112,3.87
077870985X,Fine Feathered Friend (Yellow Bananas),Jamila Gavin,2002,http://images.amazon.com/images/P/077870985X.01.LZZZZZZZ.jpg,48,3.67
1564024733,Guess How Much I Love You,Sam McBratney,1995,http://images.amazon.com/images/P/1564024733.01.LZZZZZZZ.jpg,32,4.37
030720314X,Polite Elephant (The Little Golden Treasures Series),RICHARD SCARRY,1998,http://images.amazon.com/images/P/030720314X.01.LZZZZZZZ.jpg,26,4.1
014050723X,The Story of Holly and Ivy (Picture Puffins),Rumer Godden,1987,http://images.amazon.com/images/P/014050723X.01.LZZZZZZZ.jpg,32,4.22
1841484253,Playtime Rhymes for Little People,Clare Beaton,2001,http://images.amazon.com/images/P/1841484253.01.LZZZZZZZ.jpg,64,3.69
1575846578,Tyler is Shy (FP All Star Readers),Susan Hood,2000,http://images.amazon.com/images/P/1575846578.01.LZZZZZZZ.jpg,32,3.45
1564023206,The Christmas Miracle of Jonathan Toomey,Susan Wojciechowski,1995,http://images.amazon.com/images/P/1564023206.01.LZZZZZZZ.jpg,40,4.43
1564772357,Welcome Home: Debbie Mumm,Debbie Mumm,1998,http://images.amazon.com/images/P/1564772357.01.LZZZZZZZ.jpg,128,4.0
1573225207,Illuminata: A Return to Prayer,Marianne Williamson,1995,http://images.amazon.com/images/P/1573225207.01.LZZZZZZZ.jpg,301,4.28
055305094X,Dancing in the Light,Shirley MacLaine,1985,http://images.amazon.com/images/P/055305094X.01.LZZZZZZZ.jpg,421,4.0
1564404757,Campfire Chillers: The Classics,E.M. Freeman,1994,http://images.amazon.com/images/P/1564404757.01.LZZZZZZZ.jpg,181,3.12
042510477X,Caper,Lawrence Sanders,1987,http://images.amazon.com/images/P/042510477X.01.LZZZZZZZ.jpg,360,3.72
1557485534,Southern Gentleman,Yvonne Lehman,1994,http://images.amazon.com/images/P/1557485534.01.LZZZZZZZ.jpg,170,4.03
1557486611,Ragdoll,Kelly R. Stevens,1995,http://images.amazon.com/images/P/1557486611.01.LZZZZZZZ.jpg,170,3.22
1551666111,Under the Knife,Tess Gerritsen,2000,http://images.amazon.com/images/P/1551666111.01.LZZZZZZZ.jpg,256,3.78
067187246X,STRESS AND MARRIAGE : Reporting from a Militant Middle East,Lyle H. Miller,1996,http://images.amazon.com/images/P/067187246X.01.LZZZZZZZ.jpg,318,0.0
1551668823,Cypress Point,Diane Chamberlain,2002,http://images.amazon.com/images/P/1551668823.01.LZZZZZZZ.jpg,384,3.99
1551668874,Heartbreaker,Linda Howard,2002,http://images.amazon.com/images/P/1551668874.01.LZZZZZZZ.jpg,256,3.87
1852232641,Cacti and Succulents: Step-By-Step to Growing Success (Crowood Gardening Guides),Bill Keen,1991,http://images.amazon.com/images/P/1852232641.01.LZZZZZZZ.jpg,128,3.6
1586632434,The Bird-Lover's Garden: Creating a Backyard Haven for Songbirds and Hummingbirds,Margaret MacAvoy,2001,http://images.amazon.com/images/P/1586632434.01.LZZZZZZZ.jpg,128,3.8
1567999794,Cottage Living: Creating Comfortable Country Retreats,Ellen Plante,2000,http://images.amazon.com/images/P/1567999794.01.LZZZZZZZ.jpg,160,3.88
039474635X,Born Free: A Lioness of Two Worlds,Joy Adamson,1987,http://images.amazon.com/images/P/039474635X.01.LZZZZZZZ.jpg,221,4.18
048641468X,Nostradamus and His Prophecies,Nostradamus,2000,http://images.amazon.com/images/P/048641468X.01.LZZZZZZZ.jpg,822,3.24
034543241X,Still Me,Christopher Reeve,1999,http://images.amazon.com/images/P/034543241X.01.LZZZZZZZ.jpg,324,4.09
156895428X,Twins (Wheeler Large Print Book Series (Cloth)),Katherine Stone,1997,http://images.amazon.com/images/P/156895428X.01.LZZZZZZZ.jpg,516,4.09
067943013X,Maya's First Rose: A Diary of a Very Special Love,Martin Scot Kosins,1994,http://images.amazon.com/images/P/067943013X.01.LZZZZZZZ.jpg,115,4.08
039914014X,Home Song,Lavyrle Spencer,1995,http://images.amazon.com/images/P/039914014X.01.LZZZZZZZ.jpg,366,3.83
006251072X,The Lessons of Love: Rediscovering Our Passion for Life When It All Seems Too Hard to Take,Melody Beattie,1994,http://images.amazon.com/images/P/006251072X.01.LZZZZZZZ.jpg,225,3.99
067974388X,The Tightwad Gazette: Promoting Thrift As a Viable Alternative Lifestyle,Amy Dacyczyn,1993,http://images.amazon.com/images/P/067974388X.01.LZZZZZZZ.jpg,307,4.09
088070313X,Glorious Intruder,Joni Eareckson Tada,1989,http://images.amazon.com/images/P/088070313X.01.LZZZZZZZ.jpg,271,4.43
1565122615,A Perfect Arrangement,Suzanne Berne,2001,http://images.amazon.com/images/P/1565122615.01.LZZZZZZZ.jpg,301,2.93
042514898X,Hangman's Root,Susan Wittig Albert,1995,http://images.amazon.com/images/P/042514898X.01.LZZZZZZZ.jpg,272,3.95
1580621805,Small Miracles of Love &amp; Friendship: Remarkable Coincidences of Warmth and Devotion,Yitta Halberstam,1999,http://images.amazon.com/images/P/1580621805.01.LZZZZZZZ.jpg,263,4.21
345319988X,Unten am Fluss. Watership Down.,Richard Adams,2002,http://images.amazon.com/images/P/345319988X.01.LZZZZZZZ.jpg,654,4.06
1578560853,Edge of Eternity,RANDY ALCORN,1998,http://images.amazon.com/images/P/1578560853.01.LZZZZZZZ.jpg,325,4.05
157673661X,Dominion,Randy Alcorn,2000,http://images.amazon.com/images/P/157673661X.01.LZZZZZZZ.jpg,612,4.22
074321076X,Sarah Ban Breathnach's Mrs. Sharp's Traditions: Reviving Victorian Family Celebrations Of Comfort &amp; Joy,Sarah Ban Breathnach,2001,http://images.amazon.com/images/P/074321076X.01.LZZZZZZZ.jpg,256,4.08
038547508X,Idiot Letters: One Man's Relentless Assault on Corporate America,Paul Rosa,1995,http://images.amazon.com/images/P/038547508X.01.LZZZZZZZ.jpg,160,3.78
082174321X,Promise Me Heaven,Katharine Kincaid,1993,http://images.amazon.com/images/P/082174321X.01.LZZZZZZZ.jpg,448,4.0
067165716X,JESUITS,Malachi Martin,1988,http://images.amazon.com/images/P/067165716X.01.LZZZZZZZ.jpg,525,3.95
1570642796,The Treasure of Skeleton Reef (Wishbone Mysteries #1),Brand Strickland,1997,http://images.amazon.com/images/P/1570642796.01.LZZZZZZZ.jpg,141,3.82
051512012X,Cutting Edge,Robert W. Walker,1997,http://images.amazon.com/images/P/051512012X.01.LZZZZZZZ.jpg,424,3.59
080211671X,How the Dead Live,Will Self,2000,http://images.amazon.com/images/P/080211671X.01.LZZZZZZZ.jpg,416,3.59
1551669293,204 Rosewood Lane,Debbie Macomber,2002,http://images.amazon.com/images/P/1551669293.01.LZZZZZZZ.jpg,379,4.14
055356272X,One Last Kiss,Judith Kelman,1994,http://images.amazon.com/images/P/055356272X.01.LZZZZZZZ.jpg,416,3.37
1551660377,Used To Be Lovers,Linda Lael Miller,1995,http://images.amazon.com/images/P/1551660377.01.LZZZZZZZ.jpg,249,3.83
080411255X,Religious Conviction,Grif Stockley,1995,http://images.amazon.com/images/P/080411255X.01.LZZZZZZZ.jpg,375,3.61
068816112X,Replay,Ken Grimwood,1998,http://images.amazon.com/images/P/068816112X.01.LZZZZZZZ.jpg,311,4.16
038547024X,The Black Opal,Victoria Holt,1993,http://images.amazon.com/images/P/038547024X.01.LZZZZZZZ.jpg,254,3.77
033035583X,The first stone: Some questions about sex and power,Helen Garner,1995,http://images.amazon.com/images/P/033035583X.01.LZZZZZZZ.jpg,240,3.58
1875989218,He Died with a Felafel in His Hand,John Birmingham,2000,http://images.amazon.com/images/P/1875989218.01.LZZZZZZZ.jpg,214,3.72
1565122178,Big Fish : A Novel of Mythic Proportions,Daniel Wallace,1998,http://images.amazon.com/images/P/1565122178.01.LZZZZZZZ.jpg,180,3.67
1875559833,Travelling Alone Together : Ruby Camp,Miriel Lenore,2000,http://images.amazon.com/images/P/1875559833.01.LZZZZZZZ.jpg,185,3.0
034546673X,A Christmas Journey,ANNE PERRY,2003,http://images.amazon.com/images/P/034546673X.01.LZZZZZZZ.jpg,180,3.38
1894498178,Grunt and Groan: The New Fiction Anthology of Work and Sex,Matthew Firth,2002,http://images.amazon.com/images/P/1894498178.01.LZZZZZZZ.jpg,192,4.0
081258032X,Manta's Gift,Timothy Zahn,2003,http://images.amazon.com/images/P/081258032X.01.LZZZZZZZ.jpg,416,3.82
158243056X,The Browser's Ecstasy: A Meditation on Reading,Geoffrey O'Brien,2000,http://images.amazon.com/images/P/158243056X.01.LZZZZZZZ.jpg,153,3.3
055358443X,The Collapsium,Wil McCarthy,2002,http://images.amazon.com/images/P/055358443X.01.LZZZZZZZ.jpg,428,3.77
1841190896,Mammoth Book of Seriously Comic Fantasy (Mammoth),Mike Ashley,1999,http://images.amazon.com/images/P/1841190896.01.LZZZZZZZ.jpg,494,3.44
067152951X,The BEAST #2 (FEAR STREET ) : THE BEAST #2,R.L. Stine,1995,http://images.amazon.com/images/P/067152951X.01.LZZZZZZZ.jpg,132,3.68
1565049160,Psalms of Herod,Esther Freisner,1995,http://images.amazon.com/images/P/1565049160.01.LZZZZZZZ.jpg,478,3.91
038080316X,Colony Fleet,Susan R. Matthews,2000,http://images.amazon.com/images/P/038080316X.01.LZZZZZZZ.jpg,304,3.55
031205825X,A Body to Dye For : A Mystery (Stonewall Inn Mystery),Grant Michaels,1991,http://images.amazon.com/images/P/031205825X.01.LZZZZZZZ.jpg,241,3.82
084312914X,Scary Stories for Sleep-Overs,R. C. Welch,1991,http://images.amazon.com/images/P/084312914X.01.LZZZZZZZ.jpg,126,3.96
1575668548,Flight Dreams,Michael Craft,2000,http://images.amazon.com/images/P/1575668548.01.LZZZZZZZ.jpg,230,3.71
055328214X,Tides of Light,Gregory Benford,1989,http://images.amazon.com/images/P/055328214X.01.LZZZZZZZ.jpg,407,3.84
067165604X,Ethan of Athos,Lois McMaster Bujold,1986,http://images.amazon.com/images/P/067165604X.01.LZZZZZZZ.jpg,237,3.77
1550810510,Random Passage,Bernice Morgan,1992,http://images.amazon.com/images/P/1550810510.01.LZZZZZZZ.jpg,272,4.03
037316002X,Same Last Name (Harlequin American Romance),Gilles Kathleen Seidel,1983,http://images.amazon.com/images/P/037316002X.01.LZZZZZZZ.jpg,255,3.84
038075357X,Antigrav Unlimited,Duncan Long,1988,http://images.amazon.com/images/P/038075357X.01.LZZZZZZZ.jpg,176,3.45
1551431203,Brad's Universe,Mary Woodbury,1998,http://images.amazon.com/images/P/1551431203.01.LZZZZZZZ.jpg,191,2.38
1555832660,Swords of the Rainbow,Eric Garber,1996,http://images.amazon.com/images/P/1555832660.01.LZZZZZZZ.jpg,352,3.52
1885865422,Stocking Stuffers: Homoerotic Christmas Tales,David Laurents,2002,http://images.amazon.com/images/P/1885865422.01.LZZZZZZZ.jpg,100,3.56
014029838X,Angel Trumpet: A Civil War Mystery,Ann McMillan,2001,http://images.amazon.com/images/P/014029838X.01.LZZZZZZZ.jpg,256,3.68
1573441546,Curbside Boys: The New York Years,Robert Kirby,2002,http://images.amazon.com/images/P/1573441546.01.LZZZZZZZ.jpg,150,4.23
044023462X,The Heir Hunter,Chris Larsgaard,2001,http://images.amazon.com/images/P/044023462X.01.LZZZZZZZ.jpg,448,3.59
1890159115,The Sexually Dominant Woman: A Workbook for Nervous Beginners,Lady Green,1998,http://images.amazon.com/images/P/1890159115.01.LZZZZZZZ.jpg,108,3.42
157866005X,Cats' Letters to Santa,Bill Adler,2004,http://images.amazon.com/images/P/157866005X.01.LZZZZZZZ.jpg,87,3.61
044652560X,Wheelers,Ian Stewart,2000,http://images.amazon.com/images/P/044652560X.01.LZZZZZZZ.jpg,512,3.78
1568992793,Lobster's Secret,Kathleen M. Hollenbeck,1996,http://images.amazon.com/images/P/1568992793.01.LZZZZZZZ.jpg,32,3.75
074343580X,March to the Sea,David Weber,2002,http://images.amazon.com/images/P/074343580X.01.LZZZZZZZ.jpg,672,4.21
014034019X,The BFG,Roald Dahl,1985,http://images.amazon.com/images/P/014034019X.01.LZZZZZZZ.jpg,208,4.23
1570629625,Sacred Time and the Search for Meaning,GARY EBERLE,2002,http://images.amazon.com/images/P/1570629625.01.LZZZZZZZ.jpg,240,3.6
1565122410,What the Dormouse Said: Lessons for Grown-Ups from Children's Books,Amy Gash,1999,http://images.amazon.com/images/P/1565122410.01.LZZZZZZZ.jpg,146,3.76
1878067613,Listen Up: Voices from the Next Feminist Generation,Barbara Findlen,1995,http://images.amazon.com/images/P/1878067613.01.LZZZZZZZ.jpg,264,3.97
055334949X,Even Cowgirls Get the Blues,Tom Robbins,1990,http://images.amazon.com/images/P/055334949X.01.LZZZZZZZ.jpg,365,3.76
1566890284,Bone Truth: A Novel,Anne Finger,1994,http://images.amazon.com/images/P/1566890284.01.LZZZZZZZ.jpg,192,3.33
382286398X,Natacha Merritt Digital Diaries,Natacha Merritt,2000,http://images.amazon.com/images/P/382286398X.01.LZZZZZZZ.jpg,256,3.58
1569245134,Party of One: The Loners' Manifesto,Anneli S. Rufus,2003,http://images.amazon.com/images/P/1569245134.01.LZZZZZZZ.jpg,286,3.71
006057898X,Quirkyalone : A Manifesto for Uncompromising Romantics,Sasha Cagen,2004,http://images.amazon.com/images/P/006057898X.01.LZZZZZZZ.jpg,176,3.67
1573228249,How to Be a Chicana Role Model,Michele Serros,2000,http://images.amazon.com/images/P/1573228249.01.LZZZZZZZ.jpg,240,3.91
093941693X,We Came All the Way from Cuba So You Could Dress Like This: Stories,Achy Obejas,1994,http://images.amazon.com/images/P/093941693X.01.LZZZZZZZ.jpg,160,3.86
1550545256,Lesser Blessed,Richard Van Camp,2004,http://images.amazon.com/images/P/1550545256.01.LZZZZZZZ.jpg,128,3.86
9707100036,La tregua,Mario Benedetti,2001,http://images.amazon.com/images/P/9707100036.01.LZZZZZZZ.jpg,182,4.21
2253059498,Le Pendule de Foucault,Umberto Eco,1992,http://images.amazon.com/images/P/2253059498.01.LZZZZZZZ.jpg,656,3.89
2070754790,Aux fruits de la passion: Roman,Daniel Pennac,1999,http://images.amazon.com/images/P/2070754790.01.LZZZZZZZ.jpg,219,3.94
2742737804,No logo : La Tyrannie des marques,Naomi Klein,2002,http://images.amazon.com/images/P/2742737804.01.LZZZZZZZ.jpg,752,3.88
3404232402,Der Armageddon- Zyklus 07. Zweite Chance auf Eden. Abenteuer aus dem Armageddon- Universum.,Peter F. Hamilton,2001,http://images.amazon.com/images/P/3404232402.01.LZZZZZZZ.jpg,573,4.03
014131141X,Boy,Roald Dahl,2001,http://images.amazon.com/images/P/014131141X.01.LZZZZZZZ.jpg,400,4.24
044020657X,Biplane,Richard Bach,1990,http://images.amazon.com/images/P/044020657X.01.LZZZZZZZ.jpg,176,3.72
093819089X,Prenatal Yoga &amp; Natural Birth,Jeannine Parvati Baker,1986,http://images.amazon.com/images/P/093819089X.01.LZZZZZZZ.jpg,94,4.2
1565049136,Resume With Monsters,William Browning Spencer,1996,http://images.amazon.com/images/P/1565049136.01.LZZZZZZZ.jpg,469,3.97
051722285X,The Shell Seekers,ROSAMUNDE PILCHER,2004,http://images.amazon.com/images/P/051722285X.01.LZZZZZZZ.jpg,530,4.15
8403593902,Diario De Zlata,Zlata Filipovic,1995,http://images.amazon.com/images/P/8403593902.01.LZZZZZZZ.jpg,218,3.75
1573226122,Lord of the Flies,William Golding,1997,http://images.amazon.com/images/P/1573226122.01.LZZZZZZZ.jpg,272,3.68
848088455X,Por quÃ© los hombres no escuchen y las mujeres no entienden los mapas,Allan Pease,2001,http://images.amazon.com/images/P/848088455X.01.LZZZZZZZ.jpg,295,3.77
8408039369,Los Renglones Torcidos De Dios,T. Luca De Tena,2003,http://images.amazon.com/images/P/8408039369.01.LZZZZZZZ.jpg,439,4.23
1894294289,The Confessions of Nipper Mooney,Ed Kavanagh,2001,http://images.amazon.com/images/P/1894294289.01.LZZZZZZZ.jpg,320,3.71
1576834999,City of Dreams (!HERO),Stephen R. Lawhead,2003,http://images.amazon.com/images/P/1576834999.01.LZZZZZZZ.jpg,361,3.47
1578563909,Drummer in the Dark,T. DAVIS BUNN,2001,http://images.amazon.com/images/P/1578563909.01.LZZZZZZZ.jpg,320,3.87
015297850X,Wings,Jane Yolen,1991,http://images.amazon.com/images/P/015297850X.01.LZZZZZZZ.jpg,32,4.05
1576737527,Riona (Fires of Gleannmara),Linda Windsor,2001,http://images.amazon.com/images/P/1576737527.01.LZZZZZZZ.jpg,351,4.01
015601131X,A Darkening Stain,Robert Wilson,2004,http://images.amazon.com/images/P/015601131X.01.LZZZZZZZ.jpg,287,3.97
1840723718,A Thousand Paths to a Peaceful Life (Thousand Paths),David Baird,2002,http://images.amazon.com/images/P/1840723718.01.LZZZZZZZ.jpg,463,4.46
1586603973,China Tapestry: Four Romantic Novellas Woven Together by Asian Traditions,Tracey Victoria Length of Silk Bateman,2002,http://images.amazon.com/images/P/1586603973.01.LZZZZZZZ.jpg,352,3.55
034543448X,Demolition Angel,Robert Crais,2001,http://images.amazon.com/images/P/034543448X.01.LZZZZZZZ.jpg,400,4.02
1586605879,Time Lottery,Nancy Moser,2002,http://images.amazon.com/images/P/1586605879.01.LZZZZZZZ.jpg,383,3.75
8420480797,La tabla de Flandes (Alfaguara hispÃ¡nica),Arturo PÃ©rez-Reverte,1990,http://images.amazon.com/images/P/8420480797.01.LZZZZZZZ.jpg,416,3.79
1852425970,Personal Demons,Christopher Fowler,1998,http://images.amazon.com/images/P/1852425970.01.LZZZZZZZ.jpg,317,4.03
1553062892,I Read You Loud and Clear,Gaye Martin,2001,http://images.amazon.com/images/P/1553062892.01.LZZZZZZZ.jpg,180,0.0
1551669137,A Wolf In Sheep's Clothing,Joan Johnston,2002,http://images.amazon.com/images/P/1551669137.01.LZZZZZZZ.jpg,256,3.89
1551667983,True Colors,Jayne Ann Krentz,2001,http://images.amazon.com/images/P/1551667983.01.LZZZZZZZ.jpg,256,3.38
1551668300,16 Lighthouse Road,Debbie Macomber,2001,http://images.amazon.com/images/P/1551668300.01.LZZZZZZZ.jpg,384,4.08
074346723X,Paradise County,Karen Robards,2003,http://images.amazon.com/images/P/074346723X.01.LZZZZZZZ.jpg,464,3.83
1402201265,Comfort Secrets for Busy Women: Finding Your Way When Your Life Is Overflowing,Jennifer Louden,2003,http://images.amazon.com/images/P/1402201265.01.LZZZZZZZ.jpg,256,3.9
1551661640,Mixed Messages,Jim Miller,1996,http://images.amazon.com/images/P/1551661640.01.LZZZZZZZ.jpg,249,3.64
1551665956,Between The Lines,Jayne Ann Krentz,2000,http://images.amazon.com/images/P/1551665956.01.LZZZZZZZ.jpg,248,3.63
2253052353,Le MÃ?Â©decin d'Ispahan,Noah Gordon,1990,http://images.amazon.com/images/P/2253052353.01.LZZZZZZZ.jpg,608,4.38
2253049808,La MÃ?Â©tamorphose,Franz Kafka,1989,http://images.amazon.com/images/P/2253049808.01.LZZZZZZZ.jpg,192,3.82
2290305537,Cantique de la racaille,Vincent Ravalec,2000,http://images.amazon.com/images/P/2290305537.01.LZZZZZZZ.jpg,413,3.68
2707301485,En Attendant Godot,S. Beckett,1997,http://images.amazon.com/images/P/2707301485.01.LZZZZZZZ.jpg,124,3.83
2266023101,Le Meilleur Des Mondes,Aldous Huxley,1998,http://images.amazon.com/images/P/2266023101.01.LZZZZZZZ.jpg,284,3.99
038080297X,Avalon: : The Return of King Arthur,Stephen R. Lawhead,2000,http://images.amazon.com/images/P/038080297X.01.LZZZZZZZ.jpg,496,3.93
1575661675,The Palm Beach Story,Roxanne Pulitzer,1997,http://images.amazon.com/images/P/1575661675.01.LZZZZZZZ.jpg,288,2.7
1568581505,Extremities,Kathe Koja,2000,http://images.amazon.com/images/P/1568581505.01.LZZZZZZZ.jpg,208,3.83
1564770338,Little Quilts : All Through the House,Alice Berg,1993,http://images.amazon.com/images/P/1564770338.01.LZZZZZZZ.jpg,68,4.0
1862040222,"The Medicine Way: A Shamanic Path to Self Mastery (The \Earth Quest\"" Series)""",Kenneth Meadows,1997,http://images.amazon.com/images/P/1862040222.01.LZZZZZZZ.jpg,228,3.95
1852306688,Earth Medicine: Revealing Hidden Teachings of the Native American Medicine Wheel (Earth Quest),Kenneth Meadows,1996,http://images.amazon.com/images/P/1852306688.01.LZZZZZZZ.jpg,352,4.2
1852309423,In Search of Women's Passionate Soul: Revealing the Daimon Lover Within,Caitlin Matthews,1997,http://images.amazon.com/images/P/1852309423.01.LZZZZZZZ.jpg,272,4.39
019283990X,Dombey and Son (Oxford World's Classics),Charles Dickens,2001,http://images.amazon.com/images/P/019283990X.01.LZZZZZZZ.jpg,967,3.93
014044534X,The Civilization of the Renaissance in Italy (Penguin Classics),Jacob Burckhardt,1990,http://images.amazon.com/images/P/014044534X.01.LZZZZZZZ.jpg,400,3.93
082300791X,The Complete Guide to Decorative Stamping: Decorate Your Home Simply and Beautifully With Your Own Easy-To-Make Stamp Designs (Watson-Guptill Crafts),Grace Taormina,1998,http://images.amazon.com/images/P/082300791X.01.LZZZZZZZ.jpg,160,3.0
097228060X,Fire's Edge,Alan Siporin,2002,http://images.amazon.com/images/P/097228060X.01.LZZZZZZZ.jpg,310,4.0
8807812576,La Fata Carabina,Daniel Pennac,1987,http://images.amazon.com/images/P/8807812576.01.LZZZZZZZ.jpg,236,4.12
034544695X,The Guts to Try: The Untold Story of the Iran Hostage Rescue Mission by the On-Scene Desert Commander,James H. Kyle,2002,http://images.amazon.com/images/P/034544695X.01.LZZZZZZZ.jpg,416,4.05
3596205956,Sternstunden Der Menschheit: 12 Historische Miniaturen,S Zweig,0,http://images.amazon.com/images/P/3596205956.01.LZZZZZZZ.jpg,304,4.21
067977016X,Rocket City: A Novel (Vintage Contemporaries),Cathryn Alpert,1996,http://images.amazon.com/images/P/067977016X.01.LZZZZZZZ.jpg,364,3.64
093753921X,Five Important Things,Jim Paluch,1996,http://images.amazon.com/images/P/093753921X.01.LZZZZZZZ.jpg,137,4.14
1568580118,Our Cancer Year,Joyce Brabner,1994,http://images.amazon.com/images/P/1568580118.01.LZZZZZZZ.jpg,252,3.9
068483846X,CRUDDY: An Illustrated Novel,Lynda Barry,2000,http://images.amazon.com/images/P/068483846X.01.LZZZZZZZ.jpg,305,4.14
1560974729,Zippy Annual 2001,Bill Griffith,2001,http://images.amazon.com/images/P/1560974729.01.LZZZZZZZ.jpg,128,4.0
