ISBN,0
042510057X,Fantasy fiction
1563976943,Juvenile Fiction
087793133X,Religion
1582343632,Fiction
1879958236,Cooking
057120810X,Biography & Autobiography
1558851933,Fiction
1580050492,Fiction
1569719217,College students
078941452X,Greece
1552440451,Reference
034545006X,Fiction
042518479X,Fiction
157566710X,Fiction
1567182003,"Body, Mind & Spirit"
1557041768,"Budgets, Personal"
1575661780,Fiction
2266083244,French drama
089255228X,Juvenile Nonfiction
038080736X,Fiction
1565120019,Fiction
068418981X,Political Science
1567510922,Political Science
039475803X,Americans
055356711X,Juvenile Fiction
192999821X,Comics & Graphic Novels
043932274X,Juvenile Fiction
1573222739,Fiction
1575668297,Fiction
031284882X,Fiction
1556113994,True Crime
2253004464,French fiction
1561706671,Biography & Autobiography
042511094X,Psychology
1576830470,Religion
044652106X,Reference
1552975649,History
1565076958,Fiction
1850784116,Religion
059044316X,Cheerleading
1551667339,Fiction
1582182868,Biography & Autobiography
068484768X,Political Science
1579541828,Pets
1559701943,Fiction
1570360669,Fantasy.
1561384755,Animals
039527673X,Juvenile Fiction
006093476X,Fiction
1400034892,Fiction
1550821717,Canadian poetry
092089755X,Fiction
1885171714,Health & Fitness
042517509X,Fiction
034545118X,Fiction
068980444X,Juvenile Fiction
031249114X,Juvenile Nonfiction
014028530X,History
1856978796,Juvenile Nonfiction
1879682737,Humor
1575667495,Fiction
1551669080,Fiction
188364271X,Fiction
039567347X,Juvenile Fiction
039302220X,Fiction
038081014X,Fiction
1887654763,Religion
1565124405,Fiction
156731600X,American fiction
1565658566,Affective disorders
037348478X,Fiction
1558748288,Health & Fitness
1881164101,Fiction
1851168036,Bats
1592580025,Biography & Autobiography
097008630X,Juvenile Fiction
039560575X,"Authors, American"
156663332X,Fiction
037376510X,Fiction
1585360139,Juvenile Nonfiction
031218641X,Fiction
044023476X,Fiction
1586635808,Self-Help
013473257X,Technology & Engineering
1558743359,Self-Help
052594365X,Fiction
155652398X,Biography & Autobiography
2070422038,Fiction
081293217X,Self-Help
8466302263,Fiction
091233309X,Cooking
055348222X,Clubs
088150212X,Fiction
055321361X,Fiction
1563972050,Juvenile Nonfiction
1875245669,Christian life
055327032X,Fiction
089879692X,Science fiction
067173766X,Fiction
1888363541,Political Science
2070378551,Fiction
088038722X,"Fantasy fiction, American"
1881164004,Fiction
155022395X,Poetry
1587157020,Fiction
1892049260,Sports & Recreation
1563088576,Language Arts & Disciplines
1555912400,Humor
1857992474,Mozambique
082177297X,Fiction
8441408866,Self-Help
1573440744,Social Science
1878067362,Fiction
1581342764,Juvenile Fiction
1582700036,Self-Help
038523502X,Feminism
031232586X,Biography & Autobiography
1575621487,Christian life
080650403X,Mysticism
2226127062,Fiction
068911818X,Business & Economics
1570621284,Philosophy
1580083293,Art
074322325X,History
1578890381,Fiction
074321434X,Fiction
1558611940,Fiction
084234294X,Juvenile Fiction
087584569X,Business & Economics
1840186348,Soccer teams
1858286786,Travel
1560065710,Juvenile Nonfiction
186448117X,Friendship
1583142401,Fiction
1569471029,Fiction
1860192912,Poetry
1587670380,Fiction
3822817015,Design
1858941520,Art
067156773X,Fiction
037326240X,Fiction
006051485X,Biography & Autobiography
1569473447,Fiction
1572241500,Social Science
1550546007,Canada
087785064X,New Jerusalem Church
083681049X,Juvenile Nonfiction
1557739579,Fiction
074780124X,Business & Economics
067945232X,Fiction
1560445386,History
083356918X,Juvenile Fiction
1896597009,Comics & Graphic Novels
2290023167,"Holocaust, Jewish (1939-1945)"
087477957X,Education
006105903X,Fiction
037576092X,Biography & Autobiography
067081069X,Fiction
187805886X,Microsoft Windows (Computer file)
014004261X,"California, Gulf of"
044920636X,Fiction
2070408833,Fiction
1577311108,Self-Help
2877060500,Juvenile Nonfiction
078692974X,Fiction
039458712X,American fiction
1851705554,"Erotic stories, German"
068931793X,Grandmothers
1551664143,Fiction
2290119164,History
031218087X,Fiction
1583144099,Fiction
1565843428,History
055337379X,Fiction
1555833640,Fiction
076360061X,Animals
1585422215,Art
1555472400,Fiction
1557045305,Performing Arts
2080108778,Art
1565845609,Biography & Autobiography
087596933X,House & Home
1557091390,Juvenile Fiction
087905784X,Cooking
3930908298,Kidnapping
034543711X,Health & Fitness
067977260X,Fiction
1565123921,Biography & Autobiography
155828494X,Computers
1590170229,Fiction
1854597914,Drama
1873631413,Fiction
1852425873,Gay men
068481823X,Fiction
1551520826,Games & Activities
014130202X,Juvenile Nonfiction
034539139X,Fiction
1580084621,Cooking
1578590299,"Body, Mind & Spirit"
1841492531,"Plessis, Parrish (Fictitious character)"
1565048288,"Fantasy fiction, American"
1899866248,Comics & Graphic Novels
8496080072,Fiction
1551106191,Cooking
057114456X,Czech fiction
1565070852,Humor
1881273911,Family & Relationships
084991437X,Religion
1572970103,Fiction
1558501339,Psychology
080326089X,History
002861951X,Astrology
1551665921,Fiction
014023389X,Literary Collections
023112189X,Literary Criticism
1583331433,Health & Fitness
1400076935,Biography & Autobiography
3781751317,Adventure stories
1581246714,Fiction
1558215549,Fiction
2253006165,Fiction
8432227692,Fiction
1582343985,Fiction
1586851578,Photography
1567185304,"Body, Mind & Spirit"
1562822330,Juvenile Fiction
078948918X,Curiosities and wonders
1565121465,Biography & Autobiography
1578630452,"Body, Mind & Spirit"
1562790285,Political Science
026261037X,Science
031228781X,Fiction
2253171573,Fiction
1555540139,English drama
1895455189,Cooking
1562925768,Religion
1891830473,Comics & Graphic Novels
9715420400,Philippine fiction
1888106832,Fiction
031228182X,Fiction
9505810660,Fiction
8481301531,New York (N.Y.)
157064280X,Animals
1551665476,Man-woman relationships
1873982666,Fiction
1551667517,Fiction
1401352197,Fiction
1583224939,Political Science
038572053X,Fiction
1551665581,Fiction
1591021324,Literary Criticism
2020511134,Fiction
1882770188,Pets
1575665212,Fiction
1570760128,Crafts & Hobbies
1575054582,Juvenile Nonfiction
3404123425,Fiction
061812733X,Fiction
034545829X,Fiction
037323015X,Fiction
015601386X,Fiction
039594113X,Fiction
1558211187,Sports & Recreation
1931229120,History
014028902X,Biography & Autobiography
078670019X,Fiction
039471699X,History
1550378015,Juvenile Fiction
067149175X,Human-alien encounters
006100944X,Cheyenne Indians
067178501X,"Body, Mind & Spirit"
006019930X,Biography & Autobiography
002394790X,Chemistry
1853263222,Reference
1568389833,Self-Help
055356174X,Biography & Autobiography
044922192X,Medical
087542015X,"Body, Mind & Spirit"
2020296780,Fiction
074321269X,Fiction
4770015437,Fiction
043912042X,Juvenile Fiction
1572319380,Computers
039482668X,Juvenile Fiction
037541214X,Fiction
1931082030,Southern States
1567182216,"Body, Mind & Spirit"
1885767870,Fiction
037581504X,Juvenile Fiction
034536502X,Biography & Autobiography
067123109X,Biography & Autobiography
1861870949,Humor
1555323472,Dinosaurs
158547021X,Fiction
1575211564,Computers
031287796X,Fiction
2253030090,Fiction
1575661721,Fiction
078143257X,Juvenile Fiction
155963250X,Business & Economics
1551050560,Canadian nonfiction
1403374953,History
157748049X,Christian fiction
019504231X,Business & Economics
1569471800,Fiction
1880985268,Fiction
155153911X,Travel
1557780951,Literary Criticism
1891620983,Biography & Autobiography
2277239755,"Science fiction, American"
1893554511,Political Science
097436391X,Fiction
1561797219,Juvenile Fiction
080652247X,Fasts and feasts
2253055751,Fiction
1400033934,Literary Collections
014019441X,Social Science
1855859262,Crafts & Hobbies
047129604X,Business & Economics
067104091X,Juvenile Fiction
1871438675,"Body, Mind & Spirit"
1400048559,Biography & Autobiography
068481448X,Business & Economics
055357860X,Fiction
1862300216,Magic realism (Literature)
1401301193,Fiction
1568654243,Human-alien encounters
1853401048,Interpersonal relations
044991058X,Health & Fitness
1556111940,Fiction
034529372X,Fiction
093003175X,Gardening
3442442508,Amnesia
059044171X,Massachusetts
1569247625,Social Science
2253048089,Fiction
1575669242,Fiction
8420441988,Fiction
1929527012,Fantasy
1580420249,Games
1555835953,Fiction
067941715X,Fiction
034532692X,Fiction
1568980892,Design
1558505822,Psychology
1559361999,Drama
1551664852,Fiction
1585092118,History
1887128654,Poetry
1567314619,"Body, Mind & Spirit"
1572240814,Family & Relationships
067102681X,Fiction
061810450X,Fiction
1568330278,History
068982694X,Juvenile Fiction
1556523270,Juvenile Nonfiction
044920037X,Jewish men
187996032X,Literary Collections
044049043X,Juvenile Fiction
1567180469,Family & Relationships
1584560126,Reference
1567184855,"Body, Mind & Spirit"
014025773X,Religion
1887374485,Crafts & Hobbies
1567314821,Women
1572231319,Pets
1857920724,Religion
038515903X,Fiction
1903015030,Juvenile Fiction
055356272X,Fiction
1559390158,Religion
1569752788,Biography & Autobiography
3822858641,"Artists, Dutch"
1550224964,Fiction
1563521830,Humor
1564588920,Juvenile Nonfiction
1891024663,"Painting, Belgian"
1566914566,Travel
034027753X,Asterix (Fictitious character)
1580910998,"Body, Mind & Spirit"
2226127879,Fiction
1929001088,Literary Collections
156512345X,Biography & Autobiography
038533379X,Political Science
2253034916,Fiction
067084456X,Fiction
2842611772,Africa
1880000865,Juvenile Fiction
1551924749,Performing Arts
1560447362,Travel
044651506X,Fiction
1580623190,Business & Economics
842044491X,Juvenile Fiction
1551665484,Fiction
1858285712,Travel
1577781015,Religion
1567180183,"Body, Mind & Spirit"
1586420682,Biography & Autobiography
059095735X,Juvenile Fiction
1931686076,House & Home
3453147596,Adventure stories
1891369199,Literary Collections
051770370X,Poetry
067165876X,Horror tales
1585670944,Fiction
2070362523,Fiction
084991146X,Fiction
1929590059,Fiction
037387183X,Fiction
1862040761,Philosophy
055321828X,Fiction
1561483621,Juvenile Nonfiction
1560253177,Transportation
8433920405,Fiction
1583220410,Biography & Autobiography
1574090976,Fiction
039914711X,History
037540709X,"Body, Mind & Spirit"
1400032725,Science
1558509070,Employment interviewing
051512088X,Fiction
1551669501,Fiction
1578632935,Religion
156179483X,Juvenile Nonfiction
044021002X,Fiction
140431654X,Travel
080327999X,Fiction
089966363X,Juvenile Fiction
006064589X,Religion
1862040583,Business & Economics
1583143297,Fiction
1570753334,Religion
080652121X,History
052594270X,Fiction
044651747X,Fiction
014015373X,"Civilization, Modern"
068985353X,Juvenile Fiction
1572434953,Biography & Autobiography
1551665123,Divorced women
1561708690,"Body, Mind & Spirit"
2742711678,"Brooklyn (New York, N.Y.)"
080658016X,Biography & Autobiography
039471329X,History
1568580304,Language Arts & Disciplines
039440694X,Psychology
055324180X,Fiction
1575662914,Fiction
1573220922,Biography & Autobiography
1931890188,Cooking
1551520672,Cooking
1573452149,American literature
034542820X,Fiction
1590171012,Juvenile Fiction
097436200X,Introspection
082177008X,Fiction
039454921X,Biography & Autobiography
097130453X,Fiction
051788710X,"Body, Mind & Spirit"
031233074X,Humor
1561795194,Juvenile Fiction
1931541876,Biography & Autobiography
2070370720,Fiction
2253047333,Fiction
1852424168,Fiction
000716226X,Fiction
044920703X,Fiction
1555911447,Social Science
1903402794,Reference
1551430835,Juvenile Fiction
156305566X,Family & Relationships
088150047X,Fiction
8483102323,Fiction
2253171603,Fiction
055337348X,Humor
155046292X,Sports & Recreation
089750089X,Sports & Recreation
1566840287,Fiction
067168244X,Juvenile Fiction
1570431728,Religion
1857026632,Fiction
1888173971,Fiction
1586602233,God
1852276541,Biography & Autobiography
158542093X,Nature
038546889X,Oral history
1567186602,"Body, Mind & Spirit"
1573226068,Fiction
1576731154,Christian fiction
1572972939,Humor
1563892618,Clergy
3822896403,Art
1564140784,Study Aids
006443205X,Juvenile Fiction
1851827854,History
1841121509,Business & Economics
026218219X,Architecture
1550547380,Canadian essays
1576900126,English language
346203006X,"Schneider, Kommissar (Fictitious character)"
155166805X,Fiction
1564145883,"Body, Mind & Spirit"
1555835600,Fiction
034531977X,Fiction
006440143X,Juvenile Fiction
1558531025,Conduct of life
1881273423,Religion
8433920200,Fiction
1556524412,Fiction
8571648972,Prisoners
186368252X,Biography & Autobiography
185242401X,Fiction
1586480359,Fiction
014015809X,"Angstrom, Harry (Fictitious character)"
1884313396,Transportation
1585867578,Fiction
2264034505,Fiction
1856978834,Juvenile Fiction
068981335X,Juvenile Fiction
006093817X,Fiction
1903116066,Crafts & Hobbies
1884592082,Juvenile Fiction
1575662213,True Crime
1885593163,Juvenile Nonfiction
9500416670,Pharmaceutical industry
187948367X,Travel
013937681X,Computers
1582343187,Pets
1573227137,Health & Fitness
006205161X,Juvenile Fiction
014118065X,Fiction
1863714081,Aboriginal Australians
075730012X,Self-Help
081120135X,Biography & Autobiography
8486344166,Health & Fitness
1557761817,Drug addicts
1563895501,Comics & Graphic Novels
8466307974,Political Science
1930892128,Fiction
207039428X,Science fiction
1571743014,"Body, Mind & Spirit"
1902163923,Art
1582342261,Performing Arts
8470391127,Literatura española - Poesía - Siglo XII
078670389X,Fiction
080214022X,Fiction
158243297X,Fiction
1858338549,"Chronology, Historical"
1877733113,Christianity
031230174X,Biography & Autobiography
067977551X,Fiction
1590030044,"Body, Mind & Spirit"
055325944X,High school students
1558506535,Business & Economics
1576731715,Fiction
1561796786,Religion
1561387487,Fiction
1575842890,Juvenile Nonfiction
8885989403,Fiction
1400032008,Fiction
1573920339,Philosophy
1859841325,History
074600365X,German language
1570642567,Dinosaurs
074321529X,Social Science
078601489X,Fiction
1894222776,Juvenile Fiction
1551660059,Bahamas
2070388735,Foreign Language Study
1931686688,American wit and humor
093819089X,Hatha yoga
1551662663,Secrets
1555834965,Humor
1573221856,Fiction
8420484105,Fiction
1582971730,Language Arts & Disciplines
1850522316,Adventure stories
084394935X,Fiction
1894877233,Fiction
1853260983,Literary Criticism
1579901913,Crafts & Hobbies
1577312023,Religion
3442355907,Fiction
3442440912,Cambridge (England)
1930051255,Health & Fitness
1562012444,Fiction
1560766395,Fiction
1883013429,Performing Arts
1556155557,Computers
087451701X,Fiction
2070422402,Millennialism
044651490X,Fiction
1568581807,Social Science
1577180941,History
1578518229,Business & Economics
1565924827,Computers
2277223395,"Science fiction, American"
1587360861,Fiction
014043139X,Fiction
1577484533,Juvenile Fiction
059045417X,Soccer
1568302606,Computers
1551668165,Fiction
038530160X,Juvenile Fiction
1562056867,Computers
1569714703,Juvenile Fiction
014011002X,Family & Relationships
1861051638,True Crime
3492232981,Africa
8495618605,Fiction
031023008X,Religion
080106385X,Self-Help
2211021662,French language materials.
1885356080,Political Science
087243088X,Poetry
1841954667,Fiction
014118213X,Fiction
1852306203,Self-realization
1550548166,Fur trade
034541800X,Fiction
074322535X,Fiction
157297317X,American wit and humor
076530418X,Fiction
014006110X,Fiction
1550222988,Feminism
037575380X,Fiction
188765416X,Pets
067974987X,Sports & Recreation
068485595X,Literary Criticism
1586480774,Nature
037383408X,Fiction
015233081X,"Children's stories, American"
1575668831,Fiction
188392930X,Religion
155661246X,Fiction
096559016X,Fiction
1569313245,Comics & Graphic Novels
1559706414,Travel
034536998X,Fiction
044652154X,Fiction
1558322116,Cooking
087605498X,Pets
055358457X,Fiction
1588370232,Juvenile Fiction
1550139029,Canada
1583487948,Philosophy
067230466X,Computer networks
1893554678,Family & Relationships
1579900631,Crafts & Hobbies
1881052281,Business & Economics
3455103642,Authors
1569472130,Fiction
091629126X,Juvenile Fiction
1590170105,Literary Collections
074323846X,Fiction
014004227X,Autobiographical fiction
1586480421,Fiction
014044131X,Philosophy
1577330889,Fiction
091092368X,Nature
1559587032,Business & Economics
1559705728,History
1587288605,Juvenile Nonfiction
1569472653,Fiction
156838551X,Self-Help
015602876X,Fiction
1878424424,Family & Relationships
1575661098,Fiction
014018869X,Fiction
156761583X,Computers
1585420816,Psychology
1889758361,Fiction
1558747850,Fiction
1560974109,Comics & Graphic Novels
1852421371,Fiction
1878685163,Earth
1404184422,Religion
1557507023,Biography & Autobiography
034541019X,Fiction
1551660156,Fiction
034540565X,United States
342105682X,Germans
1568582390,Fiction
8484539598,Literary Criticism
1556343256,Games
039914143X,Fiction
1585675172,Fiction
044990864X,Fiction
1563054671,Religion
1576737349,Fiction
1569247854,"Animals, Mythical"
1570761175,Gardening
046501755X,Social Science
1400031087,Biography & Autobiography
156731533X,Family & Relationships
080761274X,Fiction
055358443X,Fiction
1582340854,Biography & Autobiography
1889893900,Religion
1582344477,Philosophy
2070718220,Love stories
1876175702,History
155710011X,Humor
1563410842,Fiction
1551668262,Fiction
1576732789,Fiction
037570910X,Fiction
1565049136,Fiction
1892129884,Christians
158234082X,Cooking
2226036563,Fiction
080694238X,"Body, Mind & Spirit"
8433966081,Fiction
1562826409,Juvenile Fiction
051751401X,Animals
157324094X,Science
1402708610,Juvenile Fiction
1854108999,Political Science
039331765X,Fiction
1556613660,Fiction
1891024094,Design
037324522X,Fiction
068984588X,Juvenile Fiction
1572242426,"Body, Mind & Spirit"
157344037X,Fiction
007004466X,Performing Arts
2868698921,Invalids
055310313X,Philosophy
1567183549,Religion
039483917X,Harness racing
047146502X,History
1869928318,Artists
1579902626,Crafts & Hobbies
1400045029,Fiction
037580210X,Juvenile Fiction
044022716X,Juvenile Fiction
059013454X,Facial expression
2266029614,American fiction
084230665X,Family & Relationships
156836167X,Biography & Autobiography
1559391103,Religion
1566635691,Biography & Autobiography
1585421375,"Body, Mind & Spirit"
067985441X,Basketball stories
1556521677,History
087508401X,Religion
1570612676,Travel
1558744142,Self-Help
1890208590,Fiction
034525662X,Fiction in English
184023377X,"Science fiction comic books, strips, etc"
1932382178,Comics & Graphic Novels
1583940332,"Body, Mind & Spirit"
034025601X,Christian biography
2253151017,China
1578566363,Fiction
1585471712,Fiction
1862043884,Religion
1557830460,Drama
044022196X,Fiction
8466305084,Vampires
1872557120,Fishery processing industries
068812920X,Juvenile Fiction
1853027103,Social Science
088064169X,Fiction
1575668467,Fiction
067346489X,Performing Arts
1573240303,Cooking
1885211317,Travel
1565656180,Juvenile Nonfiction
1573241725,"Body, Mind & Spirit"
042514545X,Fiction
075700038X,Games & Activities
1400051495,Crafts & Hobbies
1558963677,Spiritual life
1883211034,Self-Help
1555833543,Social Science
1565925424,Computers
034546608X,Fiction
014045022X,Drama
059041917X,Camps
055337432X,Fiction
186508347X,Biography & Autobiography
034540405X,Language Arts & Disciplines
1842124137,Biography & Autobiography
042517946X,Fiction
1902825969,Sports & Recreation
1566910838,Massachusetts
1573240419,Literary Criticism
1585420298,Self-Help
2253016055,Fiction
1573226475,Religion
044050404X,Fiction
088404632X,Religion
074345684X,Fiction
007824269X,Foreign Language Study
076530872X,Fiction
1571316043,Juvenile Fiction
156718460X,"Body, Mind & Spirit"
155788370X,Health & Fitness
1558537341,Humor
1550810510,Fiction
055356773X,Fiction
037580367X,Juvenile Fiction
060960922X,Business & Economics
1561795992,Fiction
1582970076,Reference
1556114230,Fiction
1840184558,Sports & Recreation
1555660916,Art
1861051654,Travel
1841580562,Reference
014045036X,Drama
1569713006,"Comic books, strips, etc"
030710253X,Behavior
1886449120,Fiction
038550781X,Biography & Autobiography
1558746625,Self-Help
1557041393,Performing Arts
1551669447,Fiction
1567185371,Health & Fitness
2213600821,Adultery
006000665X,True Crime
1550024019,Fiction
156148377X,Cooking
1565122135,Sports & Recreation
014032206X,Germany
037305386X,Fiction
1885183992,Cooking
006028367X,Juvenile Fiction
1566395186,Social Science
1898323607,Travel
1843337045,"Body, Mind & Spirit"
1576580059,"Body, Mind & Spirit"
1892746816,Fiction
1566492734,Fiction
1572240806,Medical
1896597343,Comics & Graphic Novels
1864501987,Travel
039457575X,"Art, American"
1558748334,Family & Relationships
042518532X,Fiction
039472657X,Business & Economics
1590580737,Fiction
2266072455,Detective and mystery stories
083063360X,Technology & Engineering
1890626465,Social Science
1400077265,Fiction
082121960X,Crafts & Hobbies
1856975193,Juvenile Nonfiction
3442446090,London (England)
1883013399,History
3446188800,Apes
8466300279,Fiction
1932033041,History
000654861X,China
1576732851,Fiction
1567181015,"Body, Mind & Spirit"
2020476940,"Brunetti, Guido (Fictitious character)"
1570281408,Sports & Recreation
1591823293,Comics & Graphic Novels
1561710040,History
093118830X,Fiction
038541272X,Fiction
1580173675,"Body, Mind & Spirit"
1880284685,Fiction
3774257345,Family & Relationships
068483121X,Fiction
039914630X,Fiction
1575131196,Juvenile Fiction
1586636146,Humor
1852424044,Fiction
067179552X,Fiction
1575660679,Apache Indians
081673447X,Juvenile Nonfiction
1592530192,Crafts & Hobbies
1555421040,Education
8426413080,Fiction
1556125615,Religion
006440739X,Juvenile Fiction
055327130X,Cooking
038549209X,Fiction
067988470X,Juvenile Fiction
1552123650,Fiction
068983084X,Juvenile Fiction
1402708165,"Body, Mind & Spirit"
1563702924,Business & Economics
053434643X,Child psychiatry
3257228007,Fiction
1572434422,Sports & Recreation
031219949X,Travel
1932425039,Juvenile Nonfiction
1551664623,Fiction
1929998880,Comics & Graphic Novels
1576734102,Fiction
1879181231,"Body, Mind & Spirit"
1841765953,Austria
1561794597,"Domestic fiction, American"
1931498008,Literary Collections
031098257X,Religion
1558507108,Pets
8420636282,Fantasy
1558582924,Literary Criticism
1551665786,Fiction
1567510388,Social Science
1564589897,Pets
015201909X,Juvenile Fiction
8804470895,Fiction
1573441562,Fiction
1880000156,Juvenile Nonfiction
3823855565,Architecture
044914982X,Fiction
1572972416,Fiction
1579122787,Health & Fitness
1587212145,Transportation
039489622X,Encyclopedias and dictionaries
1593101678,Fiction
1571671749,Sports & Recreation
039541105X,Juvenile Fiction
2253147303,Singers
044013529X,Family & Relationships
1570829799,Juvenile Fiction
1569244286,Cooking
006105206X,Fiction
3423206209,Detective and mystery stories
044145125X,Fiction
1561482161,Biography & Autobiography
3453099613,Domestic fiction
156523040X,Cooking
000638692X,Belarus
1931082286,History
1579620809,Comics & Graphic Novels
1565040244,Fantasy games
1556524218,Health & Fitness
044651800X,Business & Economics
093303119X,Biography & Autobiography
3822896470,Art
086241900X,Fiction
2020477815,Russian literature
156718278X,Self-Help
1585420697,Biography & Autobiography
081352377X,History
1557733821,Fiction
089693859X,Christian life
1550050567,Juvenile Fiction
020148319X,Biography & Autobiography
044079515X,Epilepsy
1572319356,Computers
1886110867,Biography & Autobiography
1853260738,Fiction
1551050749,Gardening
1857151879,Fiction
1892065487,Fiction
1558500502,Applications for positions
055358474X,Reference
1550744631,Juvenile Fiction
1568991835,Juvenile Fiction
1571312048,Anti-rape movement
067989456X,Juvenile Fiction
014027944X,Businessmen
089879661X,Language Arts & Disciplines
1580628567,Business & Economics
068487220X,Sports & Recreation
087044574X,Juvenile Nonfiction
019509915X,Literary Criticism
2070362299,Fiction
031226772X,Fiction
155868123X,Americans
034526066X,Human-alien encounters
1565121635,Biography & Autobiography
1843910802,Fiction
084313819X,Juvenile Fiction
1576733521,Christian fiction
1556520700,Fiction
1551661756,Fiction
1566632536,History
1558740708,Self-Help
1567998453,Performing Arts
020110623X,Psychology
1890693243,Technology & Engineering
078688911X,Biography & Autobiography
067188218X,Fiction
078688326X,Family & Relationships
1572232684,Pets
038072362X,Fiction
1590580400,Fiction
052594057X,Gardening
184068108X,Fiction
074342803X,Fiction
1883926130,History
8495501430,Fiction
1402701942,Games & Activities
8408047957,Fiction
037364292X,Fiction
1580170234,Technology & Engineering
006054290X,Fiction
193240709X,Fiction
067174559X,Fiction
1880090821,Fiction
1562920588,Religion
1883303117,Fiction
1582342059,"Body, Mind & Spirit"
038533446X,Fiction
1885211023,France
038547816X,Travel
1573060313,Fiction
1879960249,Psychology
1585421073,Biography & Autobiography
1575843196,Juvenile Nonfiction
044022764X,Juvenile Fiction
1878058754,Computers
044021114X,Fiction
1551924080,Poetry
039568093X,Depressed persons
1585472298,Fiction
1585421022,Self-Help
1594140677,Fiction
1556225369,History
157748973X,Fiction
1887896325,History
1582431531,Fiction
1573922374,Social Science
1929998147,Comics & Graphic Novels
1566913578,France
067086725X,Families
1558740546,Self-Help
1590521420,Juvenile Fiction
1551664267,Fiction
1931561265,Fiction
067174190X,Education
1574904396,Fiction
088240301X,Fiction
1573241660,Self-Help
1555972357,Literary Collections
1883249163,Business & Economics
1550549030,Music
074322423X,Self-Help
1885843070,Humor
068484012X,Murder
1565076982,Family & Relationships
019504620X,Entertainers
048627795X,Fiction
039951743X,Language Arts & Disciplines
155861009X,Fiction
1401902154,"Body, Mind & Spirit"
155709103X,History
1552091244,Juvenile Nonfiction
1568300948,Internet.
006001220X,Juvenile Fiction
044991156X,Games & Activities
1931933693,Reference
1878067273,Boats and boating
1400034639,Political Science
1579123368,"Body, Mind & Spirit"
1932815066,Fiction
1561452653,Fiction
068480428X,Health & Fitness
044669259X,Religion
1550225464,Biography & Autobiography
156478164X,Fiction
038082048X,Fiction
093237994X,Fiction
1582432732,Fiction
067082576X,Fiction
1565548353,Antiques & Collectibles
096189167X,"Body, Mind & Spirit"
1584653043,Biography & Autobiography
015100496X,Biography & Autobiography
031298202X,Fiction
2070373630,Fiction
080712298X,Biography & Autobiography
1575661926,Health & Fitness
1564020274,Schools
051770689X,Crafts & Hobbies
1852428066,Fiction
1560443944,Sports & Recreation
1842150812,Cooking
1559580445,Biography & Autobiography
1565920627,Computer networks
1879181789,"Body, Mind & Spirit"
068484396X,American fiction
3746619351,Man-woman relationships
093557641X,Nature
038547931X,Biography & Autobiography
078670697X,Fiction
087156419X,Fiction
080691243X,Games & Activities
1858287391,Internet
1403306184,Fiction
1858681863,Curiosities and wonders
1567187943,House & Home
1561701246,Medical
067944999X,Family & Relationships
1852424001,Fiction
1570624933,Religion
1558740503,Self-Help
1881394484,Social Science
037540645X,Fiction
1576750221,Business & Economics
096132872X,Cooking
1578591473,"Body, Mind & Spirit"
034531154X,Religion
1569714428,Comics & Graphic Novels
1569248303,"Body, Mind & Spirit"
093941693X,Fiction
1896332153,Social Science
1899836071,Language Arts & Disciplines
088730995X,Business & Economics
1551668033,Fiction
8433966111,Fiction
1568710275,Religion
1573220256,Religion
089529768X,Health & Fitness
078601525X,Fiction
1550541714,Fiction
074727293X,Dublin (Ireland)
1842223747,Performing Arts
1887123482,Art
096177133X,Health & Fitness
1578632811,"Body, Mind & Spirit"
1585675458,Fiction
1564407578,Dallas Region (Tex.)
015698380X,"Authors, English"
074323815X,Humor
006051762X,Fiction
1400000394,Fiction
1880032597,Biography & Autobiography
014028561X,Sailing
2070406466,Fiction
052593944X,Humor
1550462016,Travel
1581590199,Gardening
1931543283,Crafts & Hobbies
1555834418,Fiction
155870423X,Reference
084394921X,Fiction
156292639X,Religion
1577945832,Religion
1874509131,Fiction
1929049005,Photography
3822858773,Travel
1580175090,Health & Fitness
031231616X,Fiction
1579213081,Juvenile Nonfiction
156718295X,Gardening
045120848X,Fiction
2266005669,Fiction
015202610X,Juvenile Fiction
1570670668,Cooking
1875641319,Social Science
1555837301,Education
051512432X,Fiction
1570828768,Juvenile Fiction
044653093X,Fiction
1551664402,Fiction
044651652X,Fiction
067102440X,Fiction
1567181120,"Body, Mind & Spirit"
1575661209,Angels
1552095738,Biography & Autobiography
059044798X,Christmas
059046132X,Juvenile Nonfiction
038097584X,Fiction
1878239910,Sports & Recreation
184204043X,Scotland
045121174X,Fiction
2850186619,Cooking
061814336X,Fiction
052147809X,Science
1592247970,Fiction
086571407X,Fiction
051513466X,Fiction
1565077814,Literary Criticism
1563056267,Literary Criticism
1896951066,Fiction
1573920452,Biography & Autobiography
086625224X,Bible stories
034541005X,Fiction
1586635824,Family & Relationships
1563246015,Fiction
067173203X,Identity (Philosophical concept)
1568381034,Self-Help
044900449X,Fiction
1569550190,Religion
1931081484,Fiction
1841156574,Humor
058243565X,Easy to read materials
1558174508,Fiction
1572242450,Family & Relationships
1551667487,Fiction
157673661X,Fiction
4770016883,Japanese fiction
1579660452,History
006440370X,Juvenile Nonfiction
067101434X,Juvenile Fiction
1559580453,Self-Help
1558820213,Fiction
067400633X,Political Science
1564782042,Fiction
1563973723,Halloween decorations
1559724838,Transportation
1573228176,Biography & Autobiography
2070380955,"Authors, Danish"
1929132123,Juvenile Fiction
8480764139,Science
1560234083,Fiction
000274094X,Humor
